sheet,participant,condition,start_choice,stop_choice,turn_s,start_time_s,outbound_end_s,return_start_s,stop_time_s,outbound_duration_s,return_duration_s,outbound_speed_mps,return_speed_mps,outbound_vertical_mean,outbound_vertical_sd,outbound_vertical_range,outbound_lateral_mean,outbound_lateral_sd,outbound_lateral_range,outbound_ap_mean,outbound_ap_sd,outbound_ap_range,return_vertical_mean,return_vertical_sd,return_vertical_range,return_lateral_mean,return_lateral_sd,return_lateral_range,return_ap_mean,return_ap_sd,return_ap_range
SWEAT_019DTG1,SWEAT-019,DTG1,thresh,turn,17.17,4.35,15.170000000000002,19.17,30.17,10.820000000000002,11.0,0.277264325323475,0.2727272727272727,9.453252716528164,0.5067439717383994,3.941211000000001,-0.2019897783933518,0.4510996471699301,2.964705,2.562985212373038,0.7268504692053224,3.947264,9.4641148119891,0.577340719227055,3.824951,-0.2140393251589464,0.5861828366813377,3.779583,2.475956851044505,0.8064471471884965,4.177353
SWEAT_020DTG1,SWEAT-020,DTG1,turn,turn,11.45,4.449999999999999,9.45,13.45,18.45,5.0,5.0,0.6,0.6,9.322869063872258,1.299677714739198,7.588591,-0.1035163872255489,1.2816222759568967,7.845991,3.0350487065868266,1.249797405553723,9.57548,9.241228181636728,1.3611333754476032,8.192445,-0.1792811776447106,1.3392057329201508,8.367097000000001,3.3763826826347305,1.5252700308221954,11.517863
SWEAT_021DTG1,SWEAT-021,DTG1,turn,turn,12.28,2.28,10.28,14.28,22.28,8.0,8.000000000000002,0.375,0.3749999999999999,9.58004611610487,1.0575439679666203,10.186211,-0.0569359350811485,0.8546934574909743,11.135898,2.2565052222222226,1.0808198480825293,20.174389,9.507440290886391,1.0185443499144162,8.612466000000001,-0.0509785093632958,0.8856811860905576,8.185075,2.552799213483146,0.8654646388501255,5.927264
SWEAT_022DTG1,SWEAT-022,DTG1,turn,turn,9.58,0.0,7.58,11.58,20.08,7.58,8.499999999999998,0.3957783641160949,0.3529411764705883,9.290010054018444,1.0065712741379784,10.419628,-0.4695120632411066,0.9534204783105604,8.658384,3.2219526693017126,0.9440166886396452,8.259461,9.200293612220916,0.7426182343827487,4.998124999999999,-0.3529233689776733,0.7475519395981158,6.386195,3.4964264300822565,0.7817479888534925,4.13714
SWEAT_023DTG1,SWEAT-023,DTG1,thresh,turn,9.87,1.66,7.869999999999999,11.87,18.37,6.209999999999999,6.499999999999998,0.4830917874396136,0.4615384615384617,9.410526326892109,0.9032605752407046,8.358096,-0.648579578099839,0.6943375307006463,4.793925,2.839040030595813,1.1114108824176374,8.831094,9.464424816923076,0.8906948213725673,8.088655,-0.6183654215384616,0.6970500047252194,5.851059,2.711628770769231,0.9380488742929984,6.756228
SWEAT_024DTG1,SWEAT-024,DTG1,thresh,turn,9.3,0.0,7.300000000000001,11.3,18.8,7.300000000000001,7.5,0.410958904109589,0.4,9.63696191381669,0.8130336547479805,7.670739,-0.4158589630642955,0.6189067175496454,4.700134,1.9528642243502048,0.7353800377887753,5.194864,9.659253829560583,0.7544470459591163,6.345905,-0.3951915312916111,0.5691006093054679,4.447886,1.803133824234354,0.7404621759894305,5.013016
SWEAT_025DTG1,SWEAT-025,DTG1,turn,turn,10.63,0.6300000000000008,8.63,12.63,20.630000000000003,8.0,8.000000000000002,0.375,0.3749999999999999,9.39132764625,0.8653370062578574,9.615024000000002,-0.776619305,0.5063799923466388,4.847155,2.8148213837500005,0.8348436332041822,5.757904,9.48057386142322,0.7424791960301329,7.924146999999999,-0.7841000624219726,0.4048849158802651,3.855008,2.51201331835206,0.678692131531285,4.310431
SWEAT_026DTG1,SWEAT-026,DTG1,turn,turn,11.83,0.0,9.83,13.83,24.33,9.83,10.499999999999998,0.3051881993896236,0.2857142857142857,9.387701590447154,0.708144656216743,5.822867999999999,-0.2776888150406504,0.7572167413588196,7.165275,2.926884111788618,0.6579611259467611,3.8152750000000006,9.413751434823975,0.6007976560009741,4.159364,-0.4477086298763083,0.629387439394146,4.8258,2.801765015223596,0.5794073430110828,3.309248
SWEAT_027DTG1,SWEAT-027,DTG1,thresh,turn,10.66,0.52,8.66,12.66,21.16,8.14,8.5,0.3685503685503685,0.3529411764705882,9.24279425153374,1.2629338406300044,29.18833,-0.2989048306748466,0.8208136206188387,6.401495000000001,3.3473561337423314,1.4355405807407622,35.82817,9.199123511163338,0.8255777293104404,5.673188999999999,-0.5096650235017627,0.5796064686367608,3.874783,3.4643899271445355,0.7000166400424049,4.691043
SWEAT_028DTG1,SWEAT-028,DTG1,thresh,turn,11.4,2.52,9.4,13.4,20.9,6.880000000000001,7.499999999999998,0.4360465116279069,0.4000000000000001,9.511710213352684,0.9514087226023036,6.5484160000000005,0.1301093744557329,0.7996965221705089,4.872048,2.407367764876633,1.0636385624424105,5.53742,9.408508724367511,0.8926074283324555,7.428548,-0.1718184593874833,0.8652600424048731,5.46885,2.764744388814913,0.9031572666682812,8.152858
SWEAT_029DTG1,SWEAT-029,DTG1,thresh,turn,17.616764322916666,3.46,15.616764322916666,19.616764322916666,31.616764322916666,12.156764322916665,12.0,0.2467761914529109,0.25,8.898468805921052,0.6306982388673265,6.208551,-0.4814544983552631,0.5671360515376248,8.176078,4.240738597039473,0.6276286992452648,5.172168,8.912875259166666,0.5908494929233998,4.314806,-0.5007054625,0.5579964409224163,4.19445,4.198095920000001,0.4952341829660475,2.900649
SWEAT_030DTG1,SWEAT-030,DTG1,thresh,turn,15.09,4.14,13.09,17.09,25.59,8.95,8.5,0.335195530726257,0.3529411764705882,8.460239438616071,0.8636594779183683,5.690959,-1.0159541071428573,0.6129148786288391,4.420402,4.719445713169642,0.6586869064789334,3.917143,8.411871668625148,0.9437230703740064,6.783086999999999,-1.0805455005875442,0.7247825324472211,4.826857,4.779588743830787,0.6269406050151082,3.744949
SWEAT_031DTG1,SWEAT-031,DTG1,thresh,turn,9.11,0.31,7.109999999999999,11.11,18.11,6.8,7.0,0.4411764705882353,0.4285714285714285,9.540864220588237,1.152353977543381,9.381761,-0.3966512323529412,0.9388611295277436,6.228839,1.9584882602941176,1.0073877547686982,5.8159030000000005,9.554155964336662,1.1009298757098795,7.761781000000001,-0.3404381141226819,1.220320293128342,8.962711,1.997481562054208,1.004285245046198,6.31167
SWEAT_032DTG1,SWEAT-032,DTG1,thresh,turn,14.75,3.8,12.75,16.75,26.25,8.95,9.5,0.335195530726257,0.3157894736842105,9.311713287946429,0.8732123874217114,5.429133,-0.7662164006696427,0.6537308639184216,4.795408999999999,2.8070821037946425,0.6193958117303558,3.600783,9.27067748685594,0.6921597374785141,4.351178000000001,-0.561420531019979,0.5939431981777393,3.800566,2.983421074658254,0.6059605662483464,3.197253
